               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.057345,            0.018471,            0.020509,          0.00057078,             0.33333,           0.0038123,          0.00076245,            0.077356,              70.653,              4.9345,           0.0035957,           0.0035957,            0.066596
                  38,            0.052493,            0.019381,            0.025807,           0.0018343,             0.66667,            0.010679,           0.0021171,                 nan,                 nan,              11.371,             0.00369,             0.00369,             0.06569
                  39,            0.055578,            0.015382,            0.026414,           0.0015899,             0.66667,           0.0064178,           0.0012836,                 nan,                 nan,              8.3592,           0.0037842,           0.0037842,            0.064784
                  40,            0.054138,            0.022439,            0.018138,           0.0071301,                   1,            0.028413,           0.0041274,            0.076816,               30.57,               43.69,           0.0038782,           0.0038782,            0.063878
                  41,            0.058837,            0.016687,            0.017793,           0.0097638,                   1,             0.17504,            0.034669,            0.076814,              11.951,              14.448,            0.003972,            0.003972,            0.062972
                  42,            0.053537,            0.020202,            0.018769,           0.0027211,             0.66667,           0.0066871,           0.0010215,            0.081755,              27.142,              43.508,           0.0040657,           0.0040657,            0.062066
                  43,            0.055647,            0.015891,            0.013251,           0.0015029,             0.66667,            0.034628,           0.0069121,            0.085676,              136.47,              19.373,           0.0041592,           0.0041592,            0.061159
                  44,            0.060725,            0.017817,            0.011939,          0.00065746,             0.33333,            0.017456,           0.0034912,             0.10573,              299.53,              27.588,           0.0042526,           0.0042526,            0.060253
                  45,            0.052141,             0.01975,            0.014586,          0.00058789,             0.33333,           0.0043074,          0.00086147,                 nan,                 nan,              60.917,           0.0043458,           0.0043458,            0.059346
                  46,            0.055391,            0.021642,            0.010263,          0.00048591,             0.33333,           0.0012708,          0.00025415,                 nan,                 nan,              73.879,           0.0044389,           0.0044389,            0.058439
                  47,            0.057053,            0.023423,            0.013347,          0.00037037,             0.33333,          0.00077312,          0.00015462,                 nan,                 nan,              85.791,           0.0045318,           0.0045318,            0.057532
                  48,            0.061169,            0.013084,           0.0048691,          0.00037037,             0.33333,          0.00083966,          0.00016793,                 nan,                 nan,              81.918,           0.0046245,           0.0046245,            0.056625
                  49,            0.048686,            0.019555,           0.0089358,          0.00037037,             0.33333,           0.0041983,          0.00083966,                 nan,                 nan,               42.36,           0.0047172,           0.0047172,            0.055717
                  50,            0.050741,            0.021967,           0.0075474,           0.0003775,             0.33333,          0.00099005,          0.00019801,                 nan,                 nan,              18.779,           0.0048096,           0.0048096,             0.05481
                  51,            0.051011,            0.013585,           0.0073258,          0.00042301,             0.33333,           0.0049502,          0.00058095,                 nan,                 nan,              19.793,           0.0049019,           0.0049019,            0.053902
                  52,            0.054609,            0.018517,            0.010762,          0.00046882,             0.33333,           0.0049502,          0.00059965,            0.077137,              423.82,              19.682,           0.0049941,           0.0049941,            0.052994
                  53,            0.049934,            0.020203,           0.0050335,          0.00039541,             0.33333,            0.006142,           0.0012284,            0.077407,              277.73,              16.843,           0.0050861,           0.0050861,            0.052086
                  54,            0.053819,            0.018225,            0.010624,          0.00040404,             0.33333,           0.0036852,          0.00073704,            0.077424,              305.21,              16.135,           0.0051779,           0.0051779,            0.051178
                  55,            0.048204,            0.016392,           0.0047449,          0.00041051,             0.33333,            0.003902,          0.00078039,            0.077697,              363.05,              21.126,           0.0052696,           0.0052696,             0.05027
                  56,            0.053528,            0.020078,             0.01035,          0.00050125,             0.33333,           0.0044222,           0.0006879,            0.077904,              263.97,               19.06,           0.0053612,           0.0053612,            0.049361
                  57,            0.052167,            0.017372,           0.0057407,          0.00056883,             0.33333,           0.0067687,          0.00078743,            0.077284,              288.22,              21.589,           0.0054526,           0.0054526,            0.048453
                  58,             0.05841,            0.015473,           0.0032417,          0.00069881,             0.33333,           0.0017009,          0.00017009,             0.07759,              367.95,               23.29,           0.0055438,           0.0055438,            0.047544
                  59,            0.056406,            0.018737,           0.0070301,           0.0007326,             0.33333,           0.0018529,          0.00018529,             0.07792,              366.76,              23.879,           0.0056349,           0.0056349,            0.046635
                  60,            0.047776,            0.020215,            0.013401,          0.00070771,             0.33333,           0.0015794,          0.00015794,                 nan,                 nan,              24.694,           0.0057258,           0.0057258,            0.045726
                  61,            0.052232,            0.018535,            0.013405,          0.00057471,             0.33333,           0.0014483,          0.00014483,            0.077979,              341.11,              28.913,           0.0058166,           0.0058166,            0.044817
                  62,            0.050265,            0.020339,            0.018169,                   0,                   0,                   0,                   0,             0.07773,              411.12,              35.949,           0.0059073,           0.0059073,            0.043907
                  63,            0.050313,            0.017153,           0.0085718,          0.00037037,             0.33333,          0.00090868,          9.0868e-05,            0.077784,              426.53,              35.586,           0.0059977,           0.0059977,            0.042998
                  64,             0.04888,            0.017674,            0.011379,          0.00037037,             0.33333,          0.00093691,          9.3691e-05,             0.07687,              393.25,              35.885,           0.0060881,           0.0060881,            0.042088
                  65,            0.047413,            0.014362,            0.013548,          0.00037037,             0.33333,          0.00086372,          8.6372e-05,             0.07687,              464.72,              57.725,           0.0061782,           0.0061782,            0.041178
                  66,            0.051133,            0.017608,           0.0069695,          0.00037037,             0.33333,          0.00086372,          8.6372e-05,            0.077789,              382.75,              46.035,           0.0062683,           0.0062683,            0.040268
                  67,            0.049572,              0.0172,           0.0036476,          0.00037037,             0.33333,          0.00086372,          8.6372e-05,            0.077253,              357.05,              34.866,           0.0063581,           0.0063581,            0.039358
                  68,            0.044211,            0.018115,           0.0066261,          0.00037037,             0.33333,          0.00090868,          9.0868e-05,            0.077429,              341.08,              27.488,           0.0064479,           0.0064479,            0.038448
                  69,            0.053657,             0.01726,           0.0077151,          0.00037037,             0.33333,          0.00085261,          8.5261e-05,            0.076843,              277.35,              20.774,           0.0065374,           0.0065374,            0.037537
                  70,            0.051918,            0.018142,           0.0060578,          0.00043745,             0.33333,          0.00081691,          8.1691e-05,            0.076834,              109.94,               7.736,           0.0066268,           0.0066268,            0.036627
